y,x,class
6.338789946995208e-44,6.338789946994937e-44,no_correction
3.0104893710326583e-38,3.0104893710324004e-38,no_correction
1.0297332954997832e-42,1.0297332954998273e-42,no_correction
4.174138227934952e-45,4.174138227935132e-45,no_correction
4.095303457953921e-42,4.09530345795392e-42,no_correction
2.4739992435592615e-42,2.4739992435596856e-42,no_correction
3.6187684177569784e-37,3.6187684177567207e-37,no_correction
8.24090553059237e-47,8.24090553059284e-47,no_correction
2.8041854346367166e-45,2.804185434637076e-45,no_correction
1.5609695344824004e-43,1.5609695344824004e-43,no_correction
2.377886254959538e-39,2.3778862549594698e-39,no_correction
1.2809098826142338e-47,1.2809098826142705e-47,no_correction
3.1751421460622036e-41,3.1751421460619767e-41,no_correction
8.372442885332842e-43,8.372442885333199e-43,no_correction
4.715054946155933e-43,4.715054946156541e-43,no_correction
3.5273864871705944e-44,3.527386487170443e-44,no_correction
8.407591929562057e-43,8.407591929561699e-43,no_correction
4.1045413019157186e-49,4.10454130191531e-49,no_correction
7.967400720785371e-42,7.967400720786509e-42,no_correction
4.2669020372463263e-44,4.266902037246143e-44,no_correction
1.847402031452518e-46,1.847402031452439e-46,no_correction
2.9548304982517804e-39,2.954830498252372e-39,no_correction
1.177828749683638e-42,1.177828749683638e-42,no_correction
6.196692010604462e-48,6.196692010603932e-48,no_correction
1.5522150616042927e-38,1.552215061604049e-38,no_correction
1.7646094568536195e-48,1.7646094568534688e-48,no_correction
7.26356378628747e-43,7.263563786287781e-43,no_correction
6.303696906071368e-39,6.303696906070737e-39,no_correction
2.8184812839225447e-40,2.8184812839224244e-40,no_correction
4.224577070309043e-40,4.224577070309043e-40,no_correction
1.1754554044689522e-44,1.1754554044690022e-44,no_correction
2.9602580224321105e-40,2.960258022432407e-40,no_correction
3.6487746175158777e-42,3.6487746175158777e-42,no_correction
8.931770643650917e-46,8.931770643651681e-46,no_correction
7.267467529384152e-52,7.267467529383842e-52,no_correction
1.6755783003088965e-44,1.6755783003089682e-44,no_correction
1.8055884564849774e-45,1.8055884564849774e-45,no_correction
1.7392984474268885e-44,1.7392984474268885e-44,no_correction
2.4662970488028083e-43,2.4662970488028083e-43,no_correction
5.2387629102248306e-48,5.2387629102248306e-48,no_correction
7.460934092650908e-45,7.460934092651653e-45,no_correction
7.097046614665807e-49,7.09704661466611e-49,no_correction
4.0138783196786207e-42,4.0138783196786207e-42,no_correction
6.609964772807754e-38,6.609964772808605e-38,no_correction
3.2853499237484102e-43,3.2853499237485508e-43,no_correction
1.1292338315047368e-43,1.1292338315046886e-43,no_correction
7.593473793461513e-38,7.593473793461513e-38,no_correction
2.211581835070871e-43,2.211581835070871e-43,no_correction
1.0163548794710361e-38,1.016354879471196e-38,no_correction
2.356793855315446e-45,2.356793855315782e-45,no_correction
7.110502053716771e-44,7.110502053717379e-44,no_correction
1.9734927439754877e-44,1.9734927439755723e-44,no_correction
1.8846823034381427e-43,1.8846823034381427e-43,no_correction
1.1495128530874e-49,1.1495128530874492e-49,no_correction
9.950484170837515e-44,9.950484170835954e-44,no_correction
1.9307125570294575e-50,1.930712557029237e-50,no_correction
8.126383712155107e-43,8.126383712155454e-43,no_correction
8.600789309279703e-45,8.600789309279703e-45,no_correction
2.0873268310138741e-47,2.0873268310140533e-47,no_correction
1.4201566605401723e-52,1.4201566605399288e-52,no_correction
8.469662646924959e-42,8.469662646924716e-42,no_correction
2.0510164658378178e-45,2.0510164658375542e-45,no_correction
3.6944574768647666e-40,3.694457476864503e-40,no_correction
3.906183668934813e-43,3.906183668934813e-43,no_correction
1.0368463708848463e-46,1.0368463708847576e-46,no_correction
1.5403239547914902e-37,1.540323954791292e-37,no_correction
2.8361557070139095e-43,2.836155707013748e-43,no_correction
5.525710397527421e-43,5.525710397528367e-43,no_correction
2.018661253462277e-32,2.018661253462277e-32,no_correction
2.4107261015065068e-49,2.4107261015066443e-49,no_correction
5.473149180202895e-43,5.473149180203364e-43,no_correction
1.254795036578429e-41,1.254795036578429e-41,no_correction
6.758427987200717e-45,6.758427987200428e-45,no_correction
2.9595841043790015e-44,2.9595841043796343e-44,no_correction
5.928976994751937e-40,5.928976994751937e-40,no_correction
1.8917085118741572e-46,1.891708511873995e-46,no_correction
1.814104711461862e-39,1.814104711461862e-39,no_correction
1.845337625316688e-39,1.8453376253165557e-39,no_correction
1.1233597817291738e-43,1.1233597817293503e-43,no_correction
1.2837235184605648e-41,1.2837235184606566e-41,no_correction
2.1810763184788604e-43,2.1810763184788604e-43,no_correction
2.1022291280547446e-48,2.102229128054355e-48,no_correction
7.30890092999114e-40,7.308900929990408e-40,no_correction
2.1644993551535285e-36,2.1644993551534042e-36,no_correction
6.800813863018394e-44,6.800813863018394e-44,no_correction
5.325654412388152e-47,5.325654412387697e-47,no_correction
2.1836059529052986e-46,2.183605952905018e-46,no_correction
2.2308335598794262e-39,2.2308335598794262e-39,no_correction
1.593086305249984e-48,1.593086305249825e-48,no_correction
4.843690545860691e-40,4.843690545860831e-40,no_correction
3.074679858557745e-39,3.074679858557745e-39,no_correction
2.1381747416783534e-46,2.1381747416786284e-46,no_correction
2.7002188229931178e-42,2.7002188229931178e-42,no_correction
3.560190670758776e-42,3.560190670758523e-42,no_correction
1.3627315057806889e-46,1.3627315057806307e-46,no_correction
2.8980940829341146e-49,2.898094082934239e-49,no_correction
6.225662851882519e-43,6.225662851882697e-43,no_correction
1.6380621251738957e-53,1.6380621251740589e-53,no_correction
1.8034565421970046e-43,1.8034565421970046e-43,no_correction
1.0911422243113226e-48,1.091142224311416e-48,no_correction
8.960613427422079e-33,8.960613427420798e-33,no_correction
6.274139870343342e-39,6.274139870342716e-39,no_correction
1.0879542758530482e-45,1.0879542758530949e-45,no_correction
1.7304223527360343e-47,1.7304223527361087e-47,no_correction
6.176180583355354e-45,6.176180583355177e-45,no_correction
4.9408868085665054e-43,4.9408868085665054e-43,no_correction
1.4045413736374919e-43,1.4045413736374919e-43,no_correction
7.61428538996299e-42,7.614285389962446e-42,no_correction
8.937240043605633e-41,8.93724004360474e-41,no_correction
6.51234666769533e-46,6.512346667694774e-46,no_correction
3.502935040160486e-44,3.502935040160787e-44,no_correction
1.4550628442774892e-39,1.4550628442776974e-39,no_correction
5.479793152920307e-48,5.479793152920542e-48,no_correction
9.140178245476182e-50,9.140178245475793e-50,no_correction
1.994444913792103e-46,1.9944449137919895e-46,no_correction
9.990130832668464e-48,9.990130832668464e-48,no_correction
7.418921774490196e-43,7.418921774491464e-43,no_correction
3.940309634636194e-40,3.9403096346364765e-40,no_correction
2.8102491878827563e-38,2.810249187882475e-38,no_correction
6.068687622430918e-42,6.068687622431786e-42,no_correction
7.528744433537127e-46,7.528744433537127e-46,no_correction
3.1384040806192464e-42,3.138404080619022e-42,no_correction
7.903732240665852e-43,7.903732240666193e-43,no_correction
1.7269421330093115e-47,1.7269421330094595e-47,no_correction
2.3558882142298793e-40,2.3558882142298793e-40,no_correction
3.8815974428228383e-41,3.881597442822727e-41,no_correction
8.078206853596687e-47,8.078206853596687e-47,no_correction
4.300323607601118e-32,4.300323607601118e-32,no_correction
1.7310864288192295e-49,1.7310864288192295e-49,no_correction
4.2383213816114454e-44,4.238321381611627e-44,no_correction
2.1653170084025318e-45,2.165317008402346e-45,no_correction
